iter	Passed	Remaining
588	5636	3932
589	5646	3923
590	5655	3914
591	5667	3906
592	5678	3897
593	5687	3887
594	5698	3878
595	5708	3869
596	5724	3863
597	5741	3859
598	5759	3855
599	5769	3846
600	5778	3836
601	5788	3827
602	5799	3818
603	5809	3809
604	5820	3800
605	5829	3790
606	5841	3782
607	5851	3772
608	5863	3764
609	5877	3757
610	5889	3749
611	5901	3741
612	5912	3732
613	5924	3724
614	5936	3716
615	5946	3706
616	5957	3698
617	5965	3687
618	5972	3676
619	5979	3664
620	5987	3654
621	5994	3642
622	6001	3631
623	6007	3619
624	6014	3608
625	6021	3597
626	6030	3587
627	6036	3575
628	6043	3564
629	6051	3553
630	6058	3542
631	6065	3531
632	6073	3521
633	6079	3509
634	6087	3499
635	6094	3487
636	6102	3477
637	6110	3467
638	6120	3457
639	6128	3447
640	6137	3437
641	6148	3428
642	6156	3418
643	6165	3408
644	6173	3397
645	6183	3388
646	6190	3377
647	6199	3367
648	6210	3358
649	6220	3349
650	6231	3340
651	6243	3332
652	6259	3326
653	6270	3317
654	6280	3307
655	6289	3298
656	6298	3288
657	6306	3278
658	6314	3267
659	6322	3257
660	6334	3248
661	6345	3239
662	6355	3230
663	6366	3221
664	6375	3211
665	6385	3202
666	6397	3194
667	6411	3186
668	6424	3178
669	6440	3172
670	6451	3163
671	6462	3154
672	6473	3145
673	6488	3138
674	6501	3130
675	6514	3122
676	6528	3114
677	6540	3106
678	6552	3097
679	6562	3088
680	6574	3079
681	6587	3071
682	6598	3062
683	6608	3053
684	6622	3045
685	6635	3037
686	6654	3031
687	6669	3024
688	6680	3015
689	6690	3005
690	6701	2996
691	6713	2988
692	6725	2979
693	6737	2970
694	6748	2961
695	6760	2952
696	6771	2943
697	6782	2934
698	6792	2925
699	6802	2915
700	6813	2906
701	6824	2897
702	6836	2888
703	6848	2879
704	6859	2870
705	6868	2860
706	6880	2851
707	6895	2843
708	6907	2835
709	6918	2826
710	6933	2818
711	6946	2809
712	6958	2800
713	6971	2792
714	6981	2782
715	6991	2773
716	7003	2764
717	7011	2753
718	7024	2745
719	7035	2736
720	7047	2727
721	7061	2718
722	7072	2709
723	7082	2700
724	7095	2691
725	7106	2682
726	7117	2672
727	7129	2663
728	7141	2654
729	7153	2645
730	7172	2639
731	7186	2631
732	7196	2621
733	7206	2611
734	7220	2603
735	7243	2598
736	7268	2593
737	7280	2584
738	7290	2574
739	7305	2566
740	7318	2558
741	7332	2549
742	7347	2541
743	7358	2532
744	7368	2522
745	7379	2512
746	7387	2501
747	7399	2493
748	7411	2483
749	7420	2473
750	7429	2463
751	7438	2452
752	7445	2442
753	7455	2432
754	7463	2422
755	7471	2411
756	7479	2400
757	7490	2391
758	7500	2381
759	7509	2371
760	7519	2361
761	7528	2351
762	7535	2340
763	7542	2330
764	7549	2318
765	7554	2307
766	7560	2296
767	7565	2285
768	7571	2274
769	7577	2263
770	7582	2252
771	7588	2241
772	7594	2230
773	7603	2220
774	7610	2209
775	7617	2198
776	7625	2188
777	7632	2177
778	7641	2167
779	7648	2157
780	7656	2146
781	7664	2136
782	7674	2126
783	7687	2117
784	7696	2107
785	7707	2098
786	7717	2088
787	7730	2079
788	7740	2069
789	7754	2061
790	7764	2051
791	7773	2041
792	7786	2032
793	7799	2023
794	7813	2014
795	7825	2005
796	7835	1995
797	7847	1986
798	7857	1976
799	7871	1967
800	7886	1959
801	7903	1951
802	7914	1941
803	7923	1931
804	7948	1925
805	7958	1915
806	7968	1905
807	7979	1896
808	7989	1886
809	8001	1876
810	8015	1867
811	8026	1858
812	8038	1848
813	8049	1839
814	8060	1829
815	8073	1820
816	8082	1810
817	8089	1799
818	8100	1790
819	8110	1780
820	8120	1770
821	8129	1760
822	8148	1752
823	8161	1743
824	8177	1734
825	8187	1724
826	8201	1715
827	8215	1706
828	8230	1697
829	8241	1688
830	8252	1678
831	8264	1668
832	8277	1659
833	8285	1649
834	8297	1639
835	8309	1630
836	8317	1619
837	8326	1609
838	8334	1599
839	8343	1589
840	8351	1578
841	8362	1569
842	8372	1559
843	8378	1548
844	8385	1538
845	8393	1527
846	8399	1517
847	8407	1507
848	8413	1496
849	8421	1486
850	8428	1475
851	8434	1465
852	8442	1454
853	8448	1444
854	8455	1434
855	8464	1423
856	8472	1413
857	8480	1403
858	8487	1393
859	8495	1382
860	8503	1372
861	8510	1362
862	8518	1352
863	8525	1341
864	8534	1331
865	8541	1321
866	8548	1311
867	8554	1300
868	8562	1290
869	8571	1280
870	8579	1270
871	8588	1260
872	8597	1250
873	8606	1240
874	8617	1231
875	8629	1221
876	8640	1211
877	8651	1202
878	8660	1192
879	8671	1182
880	8682	1172
881	8694	1163
882	8703	1153
883	8714	1143
884	8723	1133
885	8731	1123
886	8740	1113
887	8749	1103
888	8757	1093
889	8765	1083
890	8771	1073
891	8780	1063
892	8786	1052
893	8794	1042
894	8802	1032
895	8809	1022
896	8816	1012
897	8825	1002
898	8832	992
899	8840	982
900	8847	972
901	8856	962
902	8863	952
903	8870	942
904	8878	932
905	8885	921
906	8893	911
907	8899	901
908	8908	891
909	8914	881
910	8921	871
911	8929	861
912	8937	851
913	8945	841
914	8953	831
915	8961	821
916	8969	811
917	8978	802
918	8988	792
919	8995	782
920	9005	772
921	9013	762
922	9022	752
923	9029	742
924	9038	732
925	9046	722
926	9054	712
927	9061	703
928	9070	693
929	9076	683
930	9083	673
931	9089	663
932	9095	653
933	9101	643
934	9109	633
935	9116	623
936	9125	613
937	9132	603
938	9139	593
939	9146	583
940	9154	573
941	9161	564
942	9170	554
943	9177	544
944	9184	534
945	9191	524
946	9199	514
947	9206	504
948	9214	495
949	9222	485
950	9231	475
951	9240	465
952	9249	456
953	9266	446
954	9274	437
955	9283	427
956	9292	417
957	9300	407
958	9309	398
959	9319	388
960	9327	378
961	9336	368
962	9343	359
963	9351	349
964	9358	339
965	9366	329
966	9374	319
967	9381	310
968	9390	300
969	9398	290
970	9406	280
971	9412	271
972	9422	261
973	9429	251
974	9438	242
975	9445	232
976	9452	222
977	9459	212
978	9466	203
979	9474	193
980	9482	183
981	9493	174
982	9502	164
983	9510	154
984	9519	144
985	9525	135
986	9534	125
987	9543	115
988	9550	106
989	9557	96
990	9565	86
991	9573	77
992	9582	67
993	9590	57
994	9599	48
995	9606	38
996	9615	28
997	9620	19
998	9628	9
999	9635	0
